GTDB	MICROBE	MICR_NT_PLUS_COMPL_EUK	INVERTEBRATE	PLANT	VERTEBRATE_OTHER	VERTEBRATE_MAMMALIAN	NT	COMBINED
@endo_900:+:3450:3495:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_819:+:7184:7220:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_435:-:6988:7022:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_284:-:8887:8927:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_5:-:2368:2411:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_3:-:2298:2335:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_433:-:2173:2220:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_836:-:5124:5171:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_605:-:4097:4138:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_312:-:1644:1693:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_396:+:9677:9721:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_717:+:5727:5772:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_733:-:2983:3043:60e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_411:+:1079:1113:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_879:+:7949:7988:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_896:+:5114:5173:59e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_961:-:9867:9923:56e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_26:-:7289:7325:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_400:+:6166:6197:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_282:-:3761:3798:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_266:-:3785:3821:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_41:+:4406:4443:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_828:+:9614:9657:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_320:-:1754:1794:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_353:+:8681:8724:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_234:-:3667:3707:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_231:-:4797:4849:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_604:+:3660:3706:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_132:-:3865:3923:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_237:-:5179:5222:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_701:+:9198:9254:56e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_693:-:6261:6345:84e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_33:-:1151:1200:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_633:-:5099:5172:73e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_726:-:4510:4562:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_886:+:6795:6865:70e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_53:+:5213:5256:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_491:-:676:718:42e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_51:-:1466:1502:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_113:-:8345:8421:76e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_33:+:9531:9586:55e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_488:-:6331:6372:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_371:+:7965:8030:65e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_346:-:3296:3336:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_516:-:9586:9658:72e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_878:-:8990:9021:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_738:-:1343:1398:55e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_398:-:6266:6311:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_816:+:9601:9649:48e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_528:-:2000:2046:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_236:+:7965:8004:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_395:-:7105:7154:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_712:-:7827:7871:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_381:-:9465:9511:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_424:-:1329:1363:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_604:-:2406:2465:59e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_437:-:7288:7322:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_981:-:180:232:52e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_83:-:1862:1924:62e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_278:-:819:860:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_336:+:7176:7215:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_150:+:7767:7806:39e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_539:-:6093:6123:30e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_109:-:8459:8495:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_492:-:7285:7329:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_204:-:2671:2715:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_321:+:3229:3289:60e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_38:+:7990:8036:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_842:+:534:577:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_724:-:4076:4126:50e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_640:+:59:99:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_220:+:882:926:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_793:-:7127:7165:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_345:-:6367:6411:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_26:-:2060:2129:69e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_535:+:4763:4796:33e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_667:+:6097:6146:49e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_324:+:5940:5990:50e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_208:-:2520:2561:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_77:-:6749:6804:55e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_365:-:9301:9365:64e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_122:+:3317:3349:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_983:-:867:908:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_44:-:2711:2744:33e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_651:-:6857:6888:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_749:+:8380:8442:62e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_118:-:6827:6868:41e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_819:+:7629:7669:40e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_44:+:4844:4878:34e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_939:-:7551:7597:46e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_264:-:9631:9689:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_571:+:7395:7426:31e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_339:-:1294:1339:45e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_867:+:1424:1461:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_216:+:3337:3395:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_96:-:280:357:77e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_342:-:6695:6733:38e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_82:+:1332:1368:36e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_784:-:5325:5383:58e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_961:+:5314:5346:32e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_488:+:9880:9917:37e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_749:+:2790:2847:57e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_930:-:6182:6233:51e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_859:-:8836:8880:44e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_826:-:2716:2759:43e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_62:+:8918:8965:47e1_0-2/1	0	0	0	0	0	0	0	0	0
@endo_812:+:1669:1725:56e1_0-2/1	0	0	0	0	0	0	0	0	0
